Column1;BaWü$FID;BaWü$RS;BaWü$AGS;BaWü$SDV_RS;BaWü$GEN;BaWü$BEZ;BaWü$IBZ;BaWü$BEM;BaWü$SN_L;BaWü$EWZ;Sparkasse;Indikator;Kürzel;Zinsüberschuss;Provisionsüberschuss;Sonstige Erträge;Ertragsposition;Personalaufwand;Andere Verwaltungsaufwand;Sonstige Aufwendungen;Aufwandsposition;Jahresüberschuss vor Steuern;Ergebnis der normalen Geschäftstätigkeit;Bilanzsumme
600;5814;83155015102;8315102;83155015102;Schluchsee;Gemeinde;64;gemeinschaftsangehörig;8;2516;Sparkasse St. Blasien;46;SK BLAS;0,013012342;0,00523186;0,002702792;0,020946994;0,009945149;0,004465051;0,000737;0,0151472;0,00103112;0,003358316;476325986,7
601;5815;83155016108;8315108;83155016108;Staufen im Breisgau;Stadt;63;gemeinschaftsangehörig;8;8243;Sparkasse Staufen-Breisach;47;SK Staufen;0,012777297;0,00656966;0,001936812;0,021283768;0,010986701;0,004872801;0,000211879;0,016071381;0,001260705;0,002387348;1504721065
602;5816;83155016130;8315130;83155016130;Münstertal/Schwarzwald;Gemeinde;64;gemeinschaftsangehörig;8;5091;Sparkasse Staufen-Breisach;47;SK Staufen;0,012777297;0,00656966;0,001936812;0,021283768;0,010986701;0,004872801;0,000211879;0,016071381;0,001260705;0,002387348;1504721065
603;5817;83155017031;8315031;83155017031;Eisenbach (Hochschwarzwald);Gemeinde;64;gemeinschaftsangehörig;8;2139;Sparkasse Hochschwarzwald;30;SK HOCH-S;0,010230386;0,006114756;0,006053143;0,022398284;0,010551768;0,005443221;0,000384427;0,016379417;0,000751748;0,002797371;1194240759
604;5818;83155017113;8315113;83155017113;Titisee-Neustadt;Stadt;63;gemeinschaftsangehörig;8;12232;Sparkasse Hochschwarzwald;30;SK HOCH-S;0,010230386;0,006114756;0,006053143;0,022398284;0,010551768;0,005443221;0,000384427;0,016379417;0,000751748;0,002797371;1194240759
605;5819;83165001009;8316009;83165001009;Denzlingen;Gemeinde;64;gemeinschaftsangehörig;8;13538;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
606;5820;83165001036;8316036;83165001036;Reute;Gemeinde;64;gemeinschaftsangehörig;8;2915;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
607;5821;83165001045;8316045;83165001045;Vörstetten;Gemeinde;64;gemeinschaftsangehörig;8;3025;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
608;5822;83165002003;8316003;83165002003;Biederbach;Gemeinde;64;gemeinschaftsangehörig;8;1754;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
609;5823;83165002010;8316010;83165002010;Elzach;Stadt;63;gemeinschaftsangehörig;8;7296;Sparkasse Freiburg-Nördlicher Breisgau;25;SK FREI;0,013804295;0,006849993;0,005110513;0,0257648;0,009586551;0,00467402;0,002733791;0,016994362;0,001028319;0,003797051;6828581815
